Timestamp	Room	PlayerX	PlayerZ	RobotX	RobotZ	P2RDistance	RobotWaitTime	IdealTrackDistance	ParticleDensity	ExpStage	ExpCondition
23.01.2022 19:04:03	Hallway-Long	-24,297	-2,87	-28,8299	-36,27607	33,7122	0	44,47334	0	experiment	VisualRobot
23.01.2022 19:04:03	Hallway-Long	-24,297	-2,87	-28,8299	-36,27607	33,7122	0	44,47334	0	experiment	VisualRobot
23.01.2022 19:04:03	Hallway-Long	-24,297	-2,87	-28,8299	-36,27607	33,7122	0	44,47334	0	experiment	VisualRobot
23.01.2022 19:04:03	Hallway-Long	-24,297	-2,87	-28,8299	-36,27607	33,7122	0	44,47334	0	experiment	VisualRobot
23.01.2022 19:04:04	Hallway-Long	-24,297	-2,87	-28,8299	-36,27607	33,7122	0	44,47334	0	experiment	VisualRobot
23.01.2022 19:04:06	Hallway-Long	-24,41011	-7,730245	-28,8299	-36,27607	28,88596	0	132,6061	0	experiment	VisualRobot
23.01.2022 19:04:08	Küche	-19,13082	-14,03177	-28,8299	-36,27607	24,26687	0	127,0471	0	experiment	VisualRobot
23.01.2022 19:04:10	Pausenraum	-18,05334	-20,92165	-28,8299	-36,27607	18,7588	0	56,83933	0	experiment	VisualRobot
23.01.2022 19:04:12	Küche	-15,98703	-16,20535	-28,8299	-36,27607	23,82799	0	65,90144	0	experiment	VisualRobot
23.01.2022 19:04:14	Hallway-Long	-23,15316	-13,18798	-28,8299	-36,27607	23,77572	0	236,002	0	experiment	VisualRobot
23.01.2022 19:04:16	Hallway-Long	-24,03999	-23,0718	-28,8299	-36,27607	14,0462	0	157,7284	0	experiment	VisualRobot
23.01.2022 19:04:18	Cubicle Room right	-24,27176	-28,02118	-27,16328	-36,09863	8,579391	0	71,55607	0	experiment	VisualRobot
23.01.2022 19:04:20	Cubicle Room right	-24,40399	-33,46569	-26,21116	-36,09406	3,189706	2,999998	10,87435	0	experiment	VisualRobot
23.01.2022 19:04:22	Cubicle Room right	-22,09661	-38,3794	-22,00348	-37,48771	0,8965397	2,999998	2,354294	0	experiment	VisualRobot
23.01.2022 19:04:24	Cubicle Room left	-19,31471	-38,26691	-18,07555	-37,90949	1,289686	2,999998	2,070485	0	experiment	VisualRobot
23.01.2022 19:04:26	Cubicle Room left	-15,2177	-38,34034	-14,0782	-37,98561	1,193438	2,999998	0,5875308	0	experiment	VisualRobot
23.01.2022 19:04:28	Cubicle Room corridor	-12,21166	-36,33759	-11,05167	-35,54156	1,406855	2,999998	0,5178595	0	experiment	VisualRobot
23.01.2022 19:04:30	Cubicle Room corridor	-9,706047	-33,25611	-9,389523	-32,16452	1,136556	2,999998	0,7029027	0	experiment	VisualRobot
23.01.2022 19:04:32	Cubicle Room corridor	-10,01033	-28,97086	-9,92609	-28,26227	0,7135807	2,999998	0,732042	0	experiment	VisualRobot
