Timestamp	Room	PlayerX	PlayerZ	RobotX	RobotZ	P2RDistance	RobotWaitTime	IdealTrackDistance	ParticleDensity	ExpStage	ExpCondition
21.01.2022 14:31:25	Hallway-Long	-24,297	-2,87	-28,8299	-36,27607	33,7122	0	44,47334	0	experiment	VisualRobot
21.01.2022 14:31:26	Hallway-Long	-24,297	-2,87	-28,8299	-36,27607	33,7122	0	44,47334	0	experiment	VisualRobot
21.01.2022 14:31:27	Hallway-Long	-24,297	-2,87	-28,8299	-36,27607	33,7122	0	44,47334	0	experiment	VisualRobot
21.01.2022 14:31:27	Hallway-Long	-24,297	-2,87	-28,8299	-36,27607	33,7122	0	44,47334	0	experiment	VisualRobot
21.01.2022 14:31:28	Hallway-Long	-24,297	-2,87	-28,8299	-36,27607	33,7122	0	44,47334	0	experiment	VisualRobot
21.01.2022 14:31:28	Hallway-Long	-24,297	-2,87	-28,8299	-36,27607	33,7122	0	44,47334	0	experiment	VisualRobot
21.01.2022 14:31:28	Hallway-Long	-24,297	-2,87	-28,8299	-36,27607	33,7122	0	44,47334	0	experiment	VisualRobot
21.01.2022 14:31:29	Hallway-Long	-24,297	-2,87	-28,8299	-36,27607	33,7122	0	44,47334	0	experiment	VisualRobot
21.01.2022 14:31:31	Hallway-Long	-24,297	-2,87	-28,8299	-36,27607	33,7122	0	44,47334	0	experiment	VisualRobot
21.01.2022 14:31:33	Hallway-Long	-24,21655	-9,458964	-28,8299	-36,27607	27,21103	0	175,3066	0	experiment	VisualRobot
21.01.2022 14:31:35	Hallway-Long	-22,26996	-12,58591	-28,8299	-36,27607	24,58162	0	212,8159	0	experiment	VisualRobot
21.01.2022 14:31:37	Küche	-18,89459	-14,81175	-28,8299	-36,27607	23,65222	0	120,4721	0	experiment	VisualRobot
21.01.2022 14:31:39	Küche	-16,05165	-17,07336	-28,8299	-36,27607	23,06573	0	65,21877	0	experiment	VisualRobot
21.01.2022 14:31:41	Pausenraum	-17,74964	-20,56207	-28,8299	-36,27607	19,22764	0	55,35416	0	experiment	VisualRobot
21.01.2022 14:31:43	Pausenraum	-16,34964	-18,71198	-28,8299	-36,27607	21,54656	0	52,02544	0	experiment	VisualRobot
